function_name, calculator,N,init_time, calc_time, calc_hz, bytes, max_error, blank_column, err1, err2, err3, Blank
Smooth_poly,DCT+Bessel+IDCT                    ,104,0.032,1.59733e+06,626.046,8, 1.17486,,0.0213457,0.274892,1.17486,
Smooth_poly,DCT+Bessel+IDCT                    ,108,0.064,1.09532e+06,912.973,8, 1.17671,,0.0219549,0.275458,1.17671,
Smooth_poly,DCT+Bessel+IDCT                    ,112,0.042,1.1924e+06,838.643,8, 1.17843,,0.0225248,0.275983,1.17843,
Smooth_poly,DCT+Bessel+IDCT                    ,116,0.037,2.08171e+06,480.375,8, 1.18004,,0.0230597,0.276472,1.18004,
Smooth_poly,DCT+Bessel+IDCT                    ,120,0.144,1.28548e+06,777.917,8, 1.18155,,0.0235627,0.276928,1.18155,
Smooth_poly,DCT+Bessel+IDCT                    ,124,0.051,3.42038e+06,292.366,8, 1.18296,,0.0240364,0.277354,1.18296,
Smooth_poly,DCT+Bessel+IDCT                    ,128,0.03,1.31421e+06,760.913,8, 1.18429,,0.0244831,0.277753,1.18429,
Smooth_poly,DCT+Bessel+IDCT                    ,132,0.043,1.72123e+06,580.979,8, 1.18551,,0.0249045,0.278127,1.18551,
Smooth_poly,DCT+Bessel+IDCT                    ,136,0.07,2.77258e+06,360.675,8, 1.18666,,0.0253023,0.27848,1.18666,
Smooth_poly,DCT+Bessel+IDCT                    ,140,0.075,1.81781e+06,550.111,8, 1.18774,,0.0256781,0.278812,1.18774,
Smooth_poly,DCT+Bessel+IDCT                    ,144,0.12,1.86183e+06,537.105,8, 1.18877,,0.0260333,0.279126,1.18877,
Smooth_poly,DCT+Bessel+IDCT                    ,148,0.051,4.26801e+06,234.301,8, 1.18975,,0.0263695,0.279422,1.18975,
Smooth_poly,DCT+Bessel+IDCT                    ,152,0.075,3.15904e+06,316.552,8, 1.19069,,0.0266879,0.279703,1.19069,
Smooth_poly,DCT+Bessel+IDCT                    ,156,0.05,2.36508e+06,422.818,8, 1.19157,,0.0269901,0.27997,1.19157,
Smooth_poly,DCT+Bessel+IDCT                    ,160,0.082,2.68471e+06,372.48,8, 1.19241,,0.0272773,0.280223,1.19241,
Smooth_poly,DCT+Bessel+IDCT                    ,164,0.059,4.8686e+06,205.398,8, 1.19319,,0.0275507,0.280463,1.19319,
Smooth_poly,DCT+Bessel+IDCT                    ,168,0.099,3.64369e+06,274.447,8, 1.19394,,0.0278114,0.280692,1.19394,
Smooth_poly,DCT+Bessel+IDCT                    ,172,0.084,6.65056e+06,150.363,8, 1.19465,,0.0280606,0.28091,1.19465,
Smooth_poly,DCT+Bessel+IDCT                    ,176,0.08,3.13456e+06,319.024,8, 1.19534,,0.0282989,0.281118,1.19534,
Smooth_poly,DCT+Bessel+IDCT                    ,180,0.173,3.02354e+06,330.738,8, 1.196,,0.0285273,0.281317,1.196,
Smooth_poly,DCT+Bessel+IDCT                    ,184,0.099,5.40658e+06,184.96,8, 1.19663,,0.0287463,0.281508,1.19663,
Smooth_poly,DCT+Bessel+IDCT                    ,188,0.078,7.70374e+06,129.807,8, 1.19724,,0.0289566,0.28169,1.19724,
Smooth_poly,DCT+Bessel+IDCT                    ,192,0.088,4.05403e+06,246.668,8, 1.19781,,0.0291585,0.281864,1.19781,
Smooth_poly,DCT+Bessel+IDCT                    ,196,0.053,4.12692e+06,242.311,8, 1.19835,,0.0293525,0.282032,1.19835,
Smooth_poly,DCT+Bessel+IDCT                    ,200,0.138,3.76157e+06,265.846,8, 1.19888,,0.0295391,0.282192,1.19888,
Smooth_poly,DCT+Bessel+IDCT                    ,204,0.149,6.03197e+06,165.783,8, 1.19939,,0.0297185,0.282346,1.19939,
Smooth_poly,DCT+Bessel+IDCT                    ,208,0.056,4.60501e+06,217.155,8, 1.19988,,0.0298911,0.282495,1.19988,
Smooth_poly,DCT+Bessel+IDCT                    ,212,0.084,1.00993e+07,99.0168,8, 1.20035,,0.0300572,0.282637,1.20035,
Smooth_poly,DCT+Bessel+IDCT                    ,216,0.141,5.05096e+06,197.982,8, 1.20081,,0.0302172,0.282775,1.20081,
Smooth_poly,DCT+Bessel+IDCT                    ,220,0.11,6.18549e+06,161.669,8, 1.20125,,0.0303715,0.282907,1.20125,
Smooth_poly,DCT+Bessel+IDCT                    ,224,0.081,6.5696e+06,152.216,8, 1.20166,,0.0305202,0.283035,1.20166,
Smooth_poly,DCT+Bessel+IDCT                    ,228,0.17,7.85557e+06,127.298,8, 1.20206,,0.0306638,0.283158,1.20206,
Smooth_poly,DCT+Bessel+IDCT                    ,232,0.104,8.91282e+06,112.198,8, 1.20245,,0.0308025,0.283277,1.20245,
Smooth_poly,DCT+Bessel+IDCT                    ,236,0.104,1.35584e+07,73.7552,8, 1.20283,,0.0309367,0.283391,1.20283,
Smooth_poly,DCT+Bessel+IDCT                    ,240,0.249,5.94608e+06,168.178,8, 1.2032,,0.0310665,0.283502,1.2032,
Smooth_poly,DCT+Bessel+IDCT                    ,244,0.125,1.51167e+07,66.1519,8, 1.20355,,0.0311922,0.28361,1.20355,
Smooth_poly,DCT+Bessel+IDCT                    ,248,0.115,1.05913e+07,94.4169,8, 1.2039,,0.0313141,0.283713,1.2039,
Smooth_poly,DCT+Bessel+IDCT                    ,252,0.144,6.78508e+06,147.382,8, 1.20423,,0.0314322,0.283814,1.20423,
Smooth_poly,DCT+Bessel+IDCT                    ,256,0.085,8.1964e+06,122.005,8, 1.20455,,0.0315468,0.283911,1.20455,
Smooth_poly,DCT+Bessel+IDCT                    ,260,0.107,7.1489e+06,139.882,8, 1.20486,,0.0316579,0.284006,1.20486,
Smooth_poly,DCT+Bessel+IDCT                    ,264,0.135,7.72213e+06,129.498,8, 1.20516,,0.0317658,0.284097,1.20516,
Smooth_poly,DCT+Bessel+IDCT                    ,268,0.121,1.96248e+07,50.956,8, 1.20545,,0.0318705,0.284186,1.20545,
Smooth_poly,DCT+Bessel+IDCT                    ,272,0.167,1.27437e+07,78.4703,8, 1.20574,,0.0319721,0.284272,1.20574,
