functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank,,,,
NonsmoothAbs,CPULinearSparse,136,0.319,4.58E+06,218.358,8,0.0089778,,0.0089778,0.00340098,0.00408111,,,,,
NonsmoothAbs,CPULinearSparse,140,0.322,3.68E+06,271.435,8,0.00875383,,0.00875383,0.0019832,0.00478819,,,,,
NonsmoothAbs,CPULinearSparse,144,0.399,4.34E+06,230.335,8,0.00722908,,0.00722908,0.00278792,0.00305984,,,,,
NonsmoothAbs,CPULinearSparse,148,0.398,4.53E+06,220.792,8,0.00357642,,0.00357642,0.0031633,0.00301409,,,,,
NonsmoothAbs,CPULinearSparse,152,0.435,5.76E+06,173.525,8,0.00354708,,0.00270074,0.00354708,0.00329879,,,,,
NonsmoothAbs,CPULinearSparse,156,0.432,6.25E+06,160.002,8,0.00441923,,0.00397627,0.00382953,0.00441923,,,,,
NonsmoothAbs,CPULinearSparse,160,0.455,6.87E+06,145.656,8,0.00774877,,0.00774877,0.00354971,0.00239816,,,,,
NonsmoothAbs,CPULinearSparse,164,0.5,9.35E+06,106.937,8,0.00432695,,0.00432695,0.00347028,0.0026068,,,,,
NonsmoothAbs,CPULinearSparse,168,0.496,1.00E+07,99.8158,8,0.00590038,,0.00590038,0.00274045,0.00268427,,,,,
NonsmoothAbs,CPULinearSparse,172,0.588,7.67E+06,130.455,8,0.00623955,,0.00623955,0.00221519,0.00387845,,,,,
NonsmoothAbs,CPULinearSparse,176,0.544,1.14E+07,87.6525,8,0.00470896,,0.00470896,0.00463447,0.00180797,,,,,
NonsmoothAbs,CPULinearSparse,180,0.628,1.21E+07,82.6287,8,0.00680232,,0.00273441,0.00680232,0.00238458,,,,,
NonsmoothAbs,CPULinearSparse,184,0.671,9.93E+06,100.669,8,0.00581888,,0.0015874,0.00581888,0.00212082,,,,,
NonsmoothAbs,CPULinearSparse,188,0.716,9.88E+06,101.215,8,0.00413392,,0.00312136,0.00413392,0.00341775,,,,,
NonsmoothAbs,CPULinearSparse,192,0.773,1.46E+07,68.2717,8,0.00651928,,0.00651928,0.00322708,0.00145016,,,,,
NonsmoothAbs,CPULinearSparse,196,0.778,1.58E+07,63.3766,8,0.00310134,,0.00310134,0.00262391,0.00199021,,,,,
NonsmoothAbs,CPULinearSparse,200,0.804,1.45E+07,68.9756,8,0.00452919,,0.00452919,0.00149426,0.00175618,,,,,
NonsmoothAbs,CPULinearSparse,204,0.871,1.78E+07,56.222,8,0.00487703,,0.00487703,0.00103128,0.00300542,,,,,
NonsmoothAbs,CPULinearSparse,208,0.882,1.88E+07,53.3012,8,0.00383179,,0.00383179,0.00164113,0.00126579,,,,,
NonsmoothAbs,CPULinearSparse,212,0.945,1.49E+07,67.1833,8,0.00202342,,0.00202342,0.00185157,0.00175947,,,,,
NonsmoothAbs,CPULinearSparse,216,1.018,2.09E+07,47.8734,8,0.0020513,,0.00122963,0.0020513,0.00162406,,,,,
NonsmoothAbs,CPULinearSparse,220,1.124,1.39E+07,72.0726,8,0.00259714,,0.00259714,0.00219578,0.0025951,,,,,
NonsmoothAbs,CPULinearSparse,224,1.146,2.30E+07,43.4534,8,0.00508772,,0.00508772,0.00211287,0.00125736,,,,,
NonsmoothAbs,CPULinearSparse,228,1.22,1.55E+07,64.4059,8,0.00233051,,0.00233051,0.00196468,0.00162815,,,,,
NonsmoothAbs,CPULinearSparse,232,1.253,2.46E+07,40.6533,8,0.00373993,,0.00373993,0.00174919,0.00161476,,,,,
NonsmoothAbs,CPULinearSparse,236,1.335,2.78E+07,35.9126,8,0.00361316,,0.00361316,0.00128325,0.00223383,,,,,
NonsmoothAbs,CPULinearSparse,240,1.35,2.10E+07,47.5388,8,0.0028006,,0.00277099,0.0028006,0.00127598,,,,,
NonsmoothAbs,CPULinearSparse,244,1.463,3.79E+07,26.3576,8,0.00440643,,0.00174657,0.00440643,0.00145907,,,,,
NonsmoothAbs,CPULinearSparse,248,1.457,2.27E+07,44.0778,8,0.00356273,,0.00107306,0.00356273,0.00157291,,,,,
NonsmoothAbs,CPULinearSparse,252,1.604,4.56E+07,21.9365,8,0.00257984,,0.00207357,0.00257984,0.00192666,,,,,
NonsmoothAbs,CPULinearSparse,256,1.585,2.41E+07,41.5406,8,0.00422508,,0.00422508,0.0022288,0.00121559,,,,,
NonsmoothAbs,CPULinearSparse,260,1.81,4.10E+07,24.4087,8,0.0018118,,0.0018118,0.00162067,0.0012814,,,,,
NonsmoothAbs,CPULinearSparse,264,1.778,3.77E+07,26.5426,8,0.00304063,,0.00304063,0.000879775,0.00147199,,,,,
NonsmoothAbs,CPULinearSparse,268,1.891,3.97E+07,25.195,8,0.00289357,,0.00289357,0.000711637,0.00164897,,,,,
NonsmoothAbs,CPULinearSparse,272,1.94,3.95E+07,25.296,8,0.00245263,,0.00245263,0.00107132,0.00109577,,,,,
NonsmoothAbs,CPULinearSparse,276,2.018,4.28E+07,23.3569,8,0.00142342,,0.00142342,0.00121941,0.00118433,,,,,
NonsmoothAbs,CPULinearSparse,280,2.177,3.10E+07,32.2826,8,0.00140318,,0.000939996,0.00140318,0.00133504,,,,,
NonsmoothAbs,CPULinearSparse,284,2.143,3.15E+07,31.7927,8,0.00186199,,0.00186199,0.00143227,0.00148426,,,,,
NonsmoothAbs,CPULinearSparse,288,2.288,3.59E+07,27.8314,8,0.00360944,,0.00360944,0.00148715,0.00101113,,,,,
NonsmoothAbs,CPULinearSparse,292,2.554,3.48E+07,28.7735,8,0.00145839,,0.00145839,0.00132723,0.00111554,,,,,
NonsmoothAbs,CPULinearSparse,296,2.451,3.56E+07,28.0594,8,0.00261281,,0.00261281,0.00111339,0.00119321,,,,,
NonsmoothAbs,CPULinearSparse,300,2.57,4.11E+07,24.315,8,0.00250475,,0.00250475,0.000825261,0.00144839,,,,,
NonsmoothAbs,CPULinearSparse,304,2.714,4.77E+07,20.9552,8,0.00209182,,0.00206148,0.00209182,0.000879871,,,,,
NonsmoothAbs,CPULinearSparse,308,2.82,4.63E+07,21.62,8,0.00310448,,0.00112727,0.00310448,0.00101168,,,,,
NonsmoothAbs,CPULinearSparse,312,2.908,4.26E+07,23.4737,8,0.00232162,,0.000858959,0.00232162,0.00104941,,,,,
NonsmoothAbs,CPULinearSparse,316,3.016,6.24E+07,16.0219,8,0.00194183,,0.00153198,0.00194183,0.00142356,,,,,
NonsmoothAbs,CPULinearSparse,320,3.067,5.09E+07,19.629,8,0.00300252,,0.00300252,0.00157943,0.00075806,,,,,
NonsmoothAbs,CPULinearSparse,324,3.248,6.09E+07,16.4309,8,0.00120729,,0.00120729,0.000965629,0.000915661,,,,,
NonsmoothAbs,CPULinearSparse,328,3.268,4.97E+07,20.1157,8,0.00214694,,0.00214694,0.000744113,0.000908134,,,,,
NonsmoothAbs,CPULinearSparse,332,3.509,5.27E+07,18.9692,8,0.00209877,,0.00209877,0.00053388,0.00136237,,,,,
NonsmoothAbs,CPULinearSparse,336,3.531,5.38E+07,18.5832,8,0.00172136,,0.00172136,0.000780705,0.000649245,,,,,
NonsmoothAbs,CPULinearSparse,340,3.75,5.65E+07,17.7095,8,0.000988894,,0.000988894,0.000874863,0.000866534,,,,,
NonsmoothAbs,CPULinearSparse,344,3.855,5.92E+07,16.8913,8,0.00103018,,0.000495752,0.00103018,0.000784083,,,,,
NonsmoothAbs,CPULinearSparse,348,3.906,6.15E+07,16.2532,8,0.00137344,,0.00137344,0.0010324,0.00129466,,,,,
NonsmoothAbs,CPULinearSparse,352,4.113,6.26E+07,15.9749,8,0.00273103,,0.00273103,0.00103471,0.000543093,,,,,
NonsmoothAbs,CPULinearSparse,356,4.284,6.56E+07,15.2543,8,0.00101932,,0.00101932,0.000991397,0.000820523,,,,,
NonsmoothAbs,CPULinearSparse,360,4.46,6.71E+07,14.8958,8,0.00181056,,0.00181056,0.000858808,0.000679634,,,,,
NonsmoothAbs,CPULinearSparse,364,4.661,7.04E+07,14.2087,8,0.00188946,,0.00188946,0.000607952,0.00119527,,,,,
NonsmoothAbs,CPULinearSparse,368,4.746,7.24E+07,13.8043,8,0.00160157,,0.00145404,0.00160157,0.000480561,,,,,
NonsmoothAbs,CPULinearSparse,372,4.842,7.52E+07,13.2901,8,0.00222079,,0.000776113,0.00222079,0.000770022,,,,,
NonsmoothAbs,CPULinearSparse,376,5.025,7.75E+07,12.9063,8,0.0018055,,0.000521779,0.0018055,0.000684464,,,,,
NonsmoothAbs,CPULinearSparse,380,5.267,8.03E+07,12.452,8,0.00152403,,0.00121829,0.00152403,0.00110265,,,,,
NonsmoothAbs,CPULinearSparse,384,5.462,8.28E+07,12.0741,8,0.00236338,,0.00236338,0.00111364,0.000528657,,,,,
NonsmoothAbs,CPULinearSparse,388,5.648,8.64E+07,11.5706,8,0.000897266,,0.000897266,0.000780161,0.000703379,,,,,
NonsmoothAbs,CPULinearSparse,392,5.762,8.90E+07,11.2336,8,0.00156281,,0.00156281,0.000616594,0.000706909,,,,,
NonsmoothAbs,CPULinearSparse,396,5.963,1.03E+08,9.6875,8,0.00163154,,0.00163154,0.00040352,0.000992112,,,,,
NonsmoothAbs,CPULinearSparse,400,6.108,1.09E+08,9.18316,8,0.001247,,0.001247,0.000572827,0.000557722,,,,,
NonsmoothAbs,CPULinearSparse,404,6.324,1.06E+08,9.4727,8,0.000710295,,0.000710295,0.000681809,0.000655084,,,,,
NonsmoothAbs,CPULinearSparse,408,6.474,1.09E+08,9.14522,8,0.000756211,,0.000458307,0.000756211,0.000708747,,,,,
NonsmoothAbs,CPULinearSparse,412,6.646,1.16E+08,8.62045,8,0.00106267,,0.00106267,0.000825461,0.000888162,,,,,
NonsmoothAbs,CPULinearSparse,416,6.916,1.08E+08,9.24551,8,0.00213231,,0.00213231,0.000804541,0.000551382,,,,,
NonsmoothAbs,CPULinearSparse,420,7.07,1.14E+08,8.74094,8,0.000794724,,0.000794724,0.000740858,0.00062382,,,,,
NonsmoothAbs,CPULinearSparse,424,7.271,1.26E+08,7.92064,8,0.00134953,,0.00134953,0.000645109,0.000686126,,,,,
NonsmoothAbs,CPULinearSparse,428,7.461,1.33E+08,7.50481,8,0.00147362,,0.00147362,0.000506877,0.000795006,,,,,
NonsmoothAbs,CPULinearSparse,432,7.668,1.28E+08,7.81223,8,0.0012228,,0.00117968,0.0012228,0.000535639,,,,,
NonsmoothAbs,CPULinearSparse,436,7.864,1.39E+08,7.17879,8,0.00169126,,0.000672806,0.00169126,0.000597701,,,,,
NonsmoothAbs,CPULinearSparse,440,8.067,1.32E+08,7.5922,8,0.00147736,,0.000440692,0.00147736,0.000652936,,,,,
NonsmoothAbs,CPULinearSparse,444,8.328,1.37E+08,7.28862,8,0.00117109,,0.000989721,0.00117109,0.000737494,,,,,
NonsmoothAbs,CPULinearSparse,448,8.492,1.40E+08,7.13847,8,0.00190856,,0.00190856,0.000809118,0.0004901,,,,,
NonsmoothAbs,CPULinearSparse,452,8.854,1.45E+08,6.87884,8,0.000715802,,0.000715802,0.000677369,0.000563489,,,,,
NonsmoothAbs,CPULinearSparse,456,9.081,1.49E+08,6.7207,8,0.00124626,,0.00124626,0.00047109,0.000597146,,,,,
NonsmoothAbs,CPULinearSparse,460,9.251,1.54E+08,6.51128,8,0.00128239,,0.00128239,0.0003377,0.000737934,,,,,
NonsmoothAbs,CPULinearSparse,464,9.468,1.67E+08,5.97988,8,0.000988312,,0.000988312,0.000442708,0.000442326,,,,,
NonsmoothAbs,CPULinearSparse,468,9.699,1.66E+08,6.02092,8,0.000572282,,0.000572282,0.00056279,0.000522785,,,,,
NonsmoothAbs,CPULinearSparse,472,9.923,1.75E+08,5.71362,8,0.000599691,,0.000366655,0.000599691,0.000545773,,,,,
NonsmoothAbs,CPULinearSparse,476,10.191,1.71E+08,5.8495,8,0.000867896,,0.000867896,0.000644251,0.000752264,,,,,
NonsmoothAbs,CPULinearSparse,480,10.391,1.74E+08,5.73394,8,0.00169912,,0.00169912,0.000638953,0.000397484,,,,,
NonsmoothAbs,CPULinearSparse,484,10.925,1.81E+08,5.53428,8,0.000649882,,0.000649882,0.00060341,0.000496829,,,,,
NonsmoothAbs,CPULinearSparse,488,11.039,1.85E+08,5.41729,8,0.00109433,,0.00109433,0.000519681,0.000484319,,,,,
NonsmoothAbs,CPULinearSparse,492,11.259,1.89E+08,5.28491,8,0.00112706,,0.00112706,0.000392076,0.000746289,,,,,
NonsmoothAbs,CPULinearSparse,496,226.416,3.42E+08,2.92732,8,0.000908253,,0.000900747,0.000908253,0.000344132,,,,,
NonsmoothAbs,CPULinearSparse,500,223.411,2.12E+08,4.70835,8,0.00143787,,0.000508955,0.00143787,0.000476927,,,,,
NonsmoothAbs,CPULinearSparse,504,241.318,2.18E+08,4.57999,8,0.00121693,,0.000300428,0.00121693,0.000427421,,,,,
NonsmoothAbs,CPULinearSparse,508,246.901,4.34E+08,2.3037,8,0.000877323,,0.000819548,0.000877323,0.000715462,,,,,
NonsmoothAbs,CPULinearSparse,512,13.077,2.19E+08,4.57618,8,0.00158382,,0.00158382,0.000719717,0.000292518,,,,,
NonsmoothAbs,CPULinearSparse,516,260.872,3.93E+08,2.54232,8,0.000595547,,0.000595547,0.000569447,0.000461299,,,,,
NonsmoothAbs,CPUBicubicQuad,12,0,1.93E+09,0.517627,8,0.0401306,,0.0331385,0.0401306,0.0281682,,,,,
NonsmoothAbs,CPUBicubicQuad,16,0,3.91E+09,0.255517,8,0.020831,,0.020831,0.0193162,0.01403,,,,,
NonsmoothAbs,CPUBicubicQuad,20,0,6.15E+09,0.162693,8,0.0122648,,0.0122648,0.0111466,0.0118772,,,,,
NonsmoothAbs,CPUBicubicQuad,24,0,9.17E+09,0.109107,8,0.00797606,,0.00659426,0.00797606,0.00739476,,,,,
NonsmoothAbs,CPUBicubicQuad,28,0,1.20E+10,0.0834359,8,0.00720233,,0.00519068,0.00666511,0.00720233,,,,,
NonsmoothAbs,CPUBicubicQuad,32,0,1.52E+10,0.0659049,8,0.00553948,,0.00553948,0.0043404,0.00504797,,,,,
NonsmoothAbs,CPUBicubicQuad,36,0,2.01E+10,0.0497075,8,0.00491499,,0.00491499,0.0042884,0.00486578,,,,,
NonsmoothAbs,CPUBicubicQuad,40,0,2.30E+10,0.043499,8,0.00391249,,0.00372005,0.00391249,0.00376032,,,,,
NonsmoothAbs,CPUBicubicQuad,44,0,2.70E+10,0.0369802,8,0.0035069,,0.00304694,0.00271317,0.0035069,,,,,
NonsmoothAbs,CPUBicubicQuad,48,0,3.04E+10,0.0328663,8,0.00302502,,0.00302502,0.00274758,0.00297462,,,,,
NonsmoothAbs,CPUBicubicQuad,52,0,3.48E+10,0.028734,8,0.00264782,,0.0026226,0.00264782,0.00260911,,,,,
NonsmoothAbs,CPUBicubicQuad,56,0,3.83E+10,0.0260802,8,0.00244428,,0.00199251,0.0019156,0.00244428,,,,,
NonsmoothAbs,CPUBicubicQuad,60,0,4.33E+10,0.0230734,8,0.0020996,,0.0020996,0.00191999,0.0019955,,,,,
NonsmoothAbs,CPUBicubicQuad,64,0,4.71E+10,0.0212223,8,0.00205788,,0.0019123,0.0019413,0.00205788,,,,,
NonsmoothAbs,CPUBicubicQuad,68,0,5.65E+10,0.0176856,8,0.00199585,,0.0015262,0.00145728,0.00199585,,,,,
NonsmoothAbs,CPUBicubicQuad,72,0,5.60E+10,0.0178449,8,0.00176468,,0.00133684,0.00142478,0.00176468,,,,,
NonsmoothAbs,CPUBicubicQuad,76,0,6.31E+10,0.0158444,8,0.00257464,,0.00119394,0.00150345,0.00257464,,,,,
NonsmoothAbs,CPUBicubicQuad,80,0,6.92E+10,0.0144532,8,0.00184651,,0.00109875,0.00115975,0.00184651,,,,,
NonsmoothAbs,CPUBicubicQuad,84,0,7.58E+10,0.0131991,8,0.00196821,,0.00120094,0.00110192,0.00196821,,,,,
NonsmoothAbs,CPUBicubicQuad,88,0,8.41E+10,0.0118899,8,0.0022036,,0.00115326,0.00120987,0.0022036,,,,,
NonsmoothAbs,CPUBicubicQuad,92,0,9.13E+10,0.0109546,8,0.00152814,,0.00100336,0.000959984,0.00152814,,,,,
NonsmoothAbs,CPUBicubicSparse,12,0.007,53277,18769.8,8,0.0401306,,0.0331385,0.0401306,0.0281682,,,,,
NonsmoothAbs,CPUBicubicSparse,16,0.033,83839,11927.6,8,0.020831,,0.020831,0.0193162,0.01403,,,,,
NonsmoothAbs,CPUBicubicSparse,20,0.03,146334,6833.68,8,0.0122648,,0.0122648,0.0111466,0.0118772,,,,,
NonsmoothAbs,CPUBicubicSparse,24,0.042,207211,4826,8,0.00797606,,0.00659426,0.00797606,0.00739476,,,,,
NonsmoothAbs,CPUBicubicSparse,28,0.061,319771,3127.24,8,0.00720234,,0.00519068,0.00666511,0.00720234,,,,,
NonsmoothAbs,CPUBicubicSparse,32,0.054,441851,2263.21,8,0.00553948,,0.00553948,0.0043404,0.00504798,,,,,
NonsmoothAbs,CPUBicubicSparse,36,0.093,751136,1331.32,8,0.00491499,,0.00491499,0.0042884,0.00486578,,,,,
NonsmoothAbs,CPUBicubicSparse,40,0.122,990137,1009.96,8,0.00391249,,0.00372005,0.00391249,0.00376027,,,,,
NonsmoothAbs,CPUBicubicSparse,44,0.11,1.33E+06,751.393,8,0.00350689,,0.00304694,0.00271317,0.00350689,,,,,
NonsmoothAbs,CPUBicubicSparse,48,0.156,1.71E+06,586.498,8,0.00302502,,0.00302502,0.00274758,0.00297467,,,,,
NonsmoothAbs,CPUBicubicSparse,52,0.174,2.28E+06,438.91,8,0.00264782,,0.0026226,0.00264782,0.00260907,,,,,
NonsmoothAbs,CPUBicubicSparse,56,0.21,2.70E+06,369.809,8,0.00244436,,0.00199251,0.0019156,0.00244436,,,,,
NonsmoothAbs,CPUBicubicSparse,60,0.203,3.17E+06,315.113,8,0.0020996,,0.0020996,0.00191999,0.00199554,,,,,
NonsmoothAbs,CPUBicubicSparse,64,0.296,4.10E+06,244.194,8,0.00205806,,0.0019123,0.0019413,0.00205806,,,,,
NonsmoothAbs,CPUBicubicSparse,68,0.307,9.20E+06,108.644,8,0.00154018,,0.0015262,0.00145728,0.00154018,,,,,
NonsmoothAbs,CPUBicubicSparse,72,0.352,5.80E+06,172.527,8,0.00176502,,0.00133684,0.00142479,0.00176502,,,,,
NonsmoothAbs,CPUBicubicSparse,76,0.459,5.54E+06,180.386,8,0.00150345,,0.00119394,0.00150345,0.00119657,,,,,
NonsmoothAbs,CPUBicubicSparse,80,0.471,8.50E+06,117.67,8,0.00152898,,0.00109875,0.00115975,0.00152898,,,,,
NonsmoothAbs,CPUBicubicSparse,84,0.552,3.50E+07,28.5642,8,0.00120094,,0.00120094,0.00110191,0.00099935,,,,,
NonsmoothAbs,CPUBicubicSparse,88,0.595,1.19E+07,84.1627,8,0.00133695,,0.00115326,0.00120989,0.00133695,,,,,
NonsmoothAbs,CPUBicubicSparse,92,0.641,1.76E+07,56.6992,8,0.00100336,,0.00100336,0.000959981,0.000920346,,,,,
NonsmoothAbs,CPUBicubicSparse,96,0.751,1.44E+07,69.4699,8,0.00117273,,0.000895723,0.000874466,0.00117273,,,,,
NonsmoothAbs,CPUBicubicSparse,100,0.882,1.67E+07,59.9377,8,0.000997957,,0.000697398,0.000997957,0.000857062,,,,,
NonsmoothAbs,CPUBicubicSparse,104,0.889,1.73E+07,57.8704,8,0.00103213,,0.000734892,0.000810628,0.00103213,,,,,
NonsmoothAbs,CPUBicubicSparse,108,1.106,1.91E+07,52.2261,8,0.000806396,,0.000792416,0.00071045,0.000806396,,,,,
NonsmoothAbs,CPUBicubicSparse,112,1.164,2.39E+07,41.8838,8,0.000918703,,0.000758826,0.000842155,0.000918703,,,,,
NonsmoothAbs,CPUBicubicSparse,116,1.208,2.67E+07,37.4581,8,0.000764473,,0.0006677,0.000700993,0.000764473,,,,,
NonsmoothAbs,CPUBicubicSparse,120,1.257,2.42E+07,41.3302,8,0.000817047,,0.00055337,0.000585091,0.000817047,,,,,
NonsmoothAbs,CPUBicubicSparse,124,1.574,3.19E+07,31.3782,8,0.000720258,,0.000474982,0.000720258,0.000717289,,,,,
NonsmoothAbs,CPUBicubicSparse,128,1.536,3.42E+07,29.2413,8,0.000708235,,0.000554956,0.000613913,0.000708235,,,,,
NonsmoothAbs,CPUBicubicSparse,132,1.836,3.18E+07,31.4497,8,0.00070009,,0.000569244,0.00048805,0.00070009,,,,,
NonsmoothAbs,CPUBicubicSparse,136,1.867,3.79E+07,26.3532,8,0.00062731,,0.000534338,0.000624853,0.00062731,,,,,
NonsmoothAbs,CPUBicubicSparse,140,2.234,4.67E+07,21.4301,8,0.000645983,,0.000465976,0.000545034,0.000645983,,,,,
NonsmoothAbs,CPUBicubicSparse,144,2.317,5.10E+07,19.6195,8,0.000574091,,0.000386547,0.000410987,0.000574091,,,,,
NonsmoothAbs,CPUBicubicSparse,148,2.482,4.59E+07,21.7793,8,0.000629296,,0.000404797,0.000547233,0.000629296,,,,,
NonsmoothAbs,CPUBicubicSparse,152,2.61,5.30E+07,18.8672,8,0.000488738,,0.000449744,0.000488738,0.000485675,,,,,
NonsmoothAbs,CPUBicubicSparse,156,2.913,5.36E+07,18.6555,8,0.000705474,,0.000442757,0.000351561,0.000705474,,,,,
NonsmoothAbs,CPUBicubicSparse,160,3.181,6.98E+07,14.32,8,0.000483952,,0.000399332,0.000483952,0.000483515,,,,,
NonsmoothAbs,CPUBicubicSparse,164,3.353,6.00E+07,16.6672,8,0.000655016,,0.000339226,0.000442099,0.000655016,,,,,
NonsmoothAbs,CPUBicubicSparse,168,3.634,6.69E+07,14.9377,8,0.000499512,,0.00027989,0.000322329,0.000499512,,,,,
NonsmoothAbs,CPUBicubicSparse,172,3.917,7.20E+07,13.8975,8,0.000600842,,0.000345567,0.000430333,0.000600842,,,,,
NonsmoothAbs,CPUBicubicSparse,176,4.261,7.77E+07,12.8725,8,0.000565178,,0.00037122,0.00040294,0.000565178,,,,,
NonsmoothAbs,CPUBicubicSparse,180,4.359,8.36E+07,11.9635,8,0.000730777,,0.000355421,0.00029775,0.000730777,,,,,
NonsmoothAbs,CPUBicubicSparse,184,4.64,9.27E+07,10.7894,8,0.000561407,,0.000313283,0.000384469,0.000561407,,,,,
NonsmoothAbs,CPUBicubicSparse,188,5.007,8.60E+07,11.6318,8,0.000614112,,0.000261371,0.000369247,0.000614112,,,,,
NonsmoothAbs,CPUBicubicSparse,192,5.334,9.22E+07,10.8432,8,0.000744138,,0.000249944,0.00027604,0.000744138,,,,,
NonsmoothAbs,CPUBicubicSparse,196,5.781,9.83E+07,10.1682,8,0.000818619,,0.000295969,0.000345067,0.000818619,,,,,
NonsmoothAbs,CPUBicubicSparse,200,6.159,1.05E+08,9.51064,8,0.000985603,,0.00030665,0.000341577,0.000985603,,,,,
NonsmoothAbs,CPUBicubicSparse,204,6.504,1.10E+08,9.09679,8,0.00107208,,0.000288137,0.000291232,0.00107208,,,,,
NonsmoothAbs,CPUBicubicSparse,208,6.793,1.30E+08,7.67742,8,0.000913986,,0.000250667,0.000346638,0.000913986,,,,,
NonsmoothAbs,CPUBicubicSparse,212,7.2,1.25E+08,8.02416,8,0.00125766,,0.000206778,0.000394585,0.00125766,,,,,
NonsmoothAbs,CPUBicubicSparse,216,7.639,1.32E+08,7.59039,8,0.0014752,,0.000229066,0.000376159,0.0014752,,,,,
NonsmoothAbs,CPUBicubicSparse,220,8.101,1.37E+08,7.28167,8,0.00155028,,0.000257732,0.000474831,0.00155028,,,,,
NonsmoothAbs,CPUBicubicSparse,224,8.543,1.53E+08,6.53614,8,0.00232777,,0.000256541,0.00063443,0.00232777,,,,,
