FunctionName, Calculator,N,Init time (s), Calc.time(s), Calc.Freq(hz), Bytes, MaxError, FirstBlank, Err1, Err2, Err3, Blank
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,252,0.424,5.40756e+07,18.4926,8, 1.62578e-11,,2.7144e-12,8.13503e-12,1.62578e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,256,0.254,4.21776e+07,23.7092,8, 1.45846e-11,,2.28723e-12,8.92421e-12,1.45846e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,260,0.365,6.00338e+07,16.6573,8, 1.19855e-11,,2.15271e-12,9.6936e-12,1.19855e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,264,0.394,5.22619e+07,19.1344,8, 1.33682e-11,,2.77737e-12,1.04364e-11,1.33682e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,268,0.505,9.00118e+07,11.1097,8, 1.70136e-11,,3.12214e-12,1.11477e-11,1.70136e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,272,0.411,5.81114e+07,17.2083,8, 1.6092e-11,,3.20748e-12,1.18233e-11,1.6092e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,276,0.507,8.36149e+07,11.9596,8, 9.63278e-12,,3.05514e-12,6.56035e-12,9.63278e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,280,0.54,5.1087e+07,19.5745,8, 1.37264e-11,,2.85011e-12,3.87847e-12,1.37264e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,284,0.604,1.27516e+08,7.84214,8, 1.45532e-11,,2.45957e-12,4.27049e-12,1.45532e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,288,0.366,7.12426e+07,14.0365,8, 1.72921e-11,,2.22923e-12,4.62478e-12,1.72921e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,292,0.577,1.12813e+08,8.86419,8, 1.17884e-11,,1.99494e-12,4.93565e-12,1.17884e-11,
